,Company,Symbol,Industry
0,ABEONA THERAPEUTICS INC,ABEO,Health Care
1,ACME UTD CORP,ACU,Health Care
2,ACTUATE THERAPEUTICS,ACTU,Health Care
3,AELUMA INC,ALMU,Technology
4,ALPHA TEKNOVA,TKNO,Health Care
5,AMERICAN BATTERY TECHNOL,ABAT,Basic Materials
6,AMYLYX PHARMACEUTICALS,AMLX,Health Care
7,ARENA GROUP HOLDINGS INC,AREN,Technology
8,ATLANTIC INTERNATIONAL C,ATLN,Health Care
9,ATYR PHARMA INC,ATYR,Health Care
10,BALLYS CORPORATION,BALY,Consumer Discretionary
11,BARNES & NOBLE EDUCATION,BNED,Consumer Discretionary
12,BENITEC BIOPHARMA ADS,BNTC,Health Care
13,BITDEER TECHNOLOGIES GRO,BTDR,Technology
14,BLUE RIDGE BANKSHARES,BRBS,Financials
15,BROOKFIELD ASSET MANAGEM,BAM,Financials
16,BV FINANCIAL INC,BVFL,Financials
17,CALUMET,CLMT,Energy
18,CF BANKSHARES INC,CFBK,Financials
19,CHEWY,CHWY,Consumer Discretionary
20,CITIZENS CMNTY BANCORP,CZWI,Financials
21,CLARITEV CORPORATION (A),CTEV,Health Care
22,CLOVER HEALTH INVEST (A),CLOV,Health Care
23,CORECARD CORP,CCRD,Technology
24,CSP INC,CSPI,Technology
25,DELCATH SYSTEMS,DCTH,Health Care
26,DOUGLAS ELLIMAN INC,DOUG,Real Estate
27,EAGLE FINANCIALSERVICES,EFSI,Financials
28,EHEALTH INC,EHTH,Financials
29,ELEDON PHARMACEUTICALS,ELDN,Health Care
30,ENERGY SERVICES OF AMERI,ESOA,Energy
31,EOS ENERGY (A),EOSE,Industrials
32,ERMENEGILDO ZEGNA NV (A),ZGN,Consumer Discretionary
33,EXPENSIFY,EXFY,Technology
34,FB BANCORP,FBLA,Financials
35,FINANCE OF AMERICAS COMP,FOA,Financials
36,FINWISE BANCORP,FINW,Financials
37,FIRST CMNTY CORP SC,FCCO,Financials
38,FIRST SAVINGS FINANCIAL,FSFG,Financials
39,FIRSTSUN CAPITAL BANCORP,FSUN,Financials
40,FLEX,FLEX,Technology
41,FLUTTER ENTERTAINMENT,FLUT,Consumer Discretionary
42,FREEDOM HOLDING CORP,FRHC,Financials
43,FRIEDMAN INDS INC,FRD,Basic Materials
44,GARRETT MOTION INC,GTX,Consumer Discretionary
45,GENIUS SPORTS LTD (A),GENI,Consumer Discretionary
46,GINKGO BIOWORKS INC (A),DNA,Health Care
47,HANOVER BANCORP INC,HNVR,Financials
48,IDAHO STRATEGIC RESOURCE,IDR,Basic Materials
49,INHIBIKASE THERAPEUTICS,IKT,Health Care
50,JOURNEY MEDICAL,DERM,Health Care
51,KESTRA MEDICAL TECHNOLOG,KMTS,Health Care
52,KOLIBRI GLOBAL ENERGY IN,KGEI,Energy
53,KORU MEDICAL SYSTEMS INC,KRMD,Health Care
54,LAKELAND INDUSTRIES INC,LAKE,Consumer Discretionary
55,LENSAR,LNSR,Health Care
56,LIGHTBRIDGE,LTBR,Industrials
57,LOGISTIC PROPERTIES OF T,LPA,Real Estate
58,LUMENT FINANCE TRUST INC,LFT,Financials
59,MAGNERA CORPORATION,MAGN,Basic Materials
60,MAREX GROUP PLC,MRX,Financials
61,MERIDIAN CORPORATION,MRBK,Financials
62,MILLICOM INTERNATIONAL C,TIGO,Telecommunications
63,MODIV INDUSTRIAL INC (C),MDV,Real Estate
64,MOTORCAR PTS AMERICA INC,MPAA,Consumer Discretionary
65,NATIONAL ENERGY SERVICES,NESR,Energy
